author,comment,likes,published_at
@Badriyati-k5y,"Rakyat ngritik , yang di kritik fafa fufu yo tidak ketemu. ilmunya o on , pas pasan .",0,2026-04-27T09:50:33Z
@Norick_Abe99,Rusak dijaman wowo.. Program kacau sarat korupsi dmn2.. Blm nanti koperasi merah putih.. Anehnya polisi tni ikut2 dilibatkan mbg jg koperasi merah putih.. Aksi Intel terselubung,0,2026-04-27T03:02:48Z
@MastuahTuah-s5j,"Apa yg dikatakan bp Prabowo dlm bukunya itu adalah kebenaran, semoga bp Prabowo bisa menangani masalah korupsi di Indonesia",1,2026-04-27T02:53:27Z
@LaluSuhaimiSP,Terus tegakkan kenaran tumbangkan kezaliman,0,2026-04-27T02:39:33Z
@YunusThonak-d1k,"Dikritik boleh, disuruh turun tdk boleh krn siapa yg lebih baik?  Apakah kamu? Lebih parah nanti.",0,2026-04-27T00:49:51Z
@hartatikbarisan4091,"JELAS YG MEMINTA BPK PRESIDEN PRABOWO MUNDUR ITU....ADALAH MUSUH MUSUH P PRABOWO,GAGAL JADI PREDIDEN ATAU KOROPTOR,MAFIA  UNTUK ITU RAKYAT NKRI HARUS WASPADA JANGAN MUDAH DI ADU DOMBA ,RAKYAT NKRI HARUS BERSATU PADU KOKOH DEMI NKRI TERCINTA INI...🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩👍👍👍👍👍👍♥️♥️♥️♥️♥️♥️🤲🤲🤲🤲🤲",0,2026-04-27T00:14:34Z
@hasmonosaptowijoyo6968,Mulutmu. Harimaumu. Hukum. Geregetan berlaku. Di tangkap. Karena. Mengajak menghasut. Maka perlu. Di tangkap menjadi tapol,0,2026-04-26T22:25:29Z
@abahagus9037,Sepertinya pembisik pak Prabowo harus diganti oleh orang-orang yang kompeten.,0,2026-04-26T19:41:48Z
@anangansas744,"Terimakasih Prof Mahpud MD  atas semua pencerahan nya,  semoga menjadi bahan renungan bagi kita semua ,rakyat, bangsa dan negara, pada masa pemerintahan Prabowo -Gibran ini, agar menjadi pemerintahan yang lebih baik, sesuai aspirasi dan kehendak rakyat. Salam akal sehat buat NKRI. Allohu Akbar  ! Medeka 💪💪💪🙏",0,2026-04-26T17:52:32Z
@Tatik-t5v,"SEMOGA SEMUA  KEJUJURAN ITU LAHIR BATHIN , NANTI MULUTNYA AJA YG HALUS TAPI GANAS DI HATI , SEMOGA TIDAK SEPERTI ITU YA , amiin,,,,,",0,2026-04-26T16:00:42Z
@YahikoChan-q6p,Ya udah aja MBG harus di tutup aja di lapangan msh bnyk  ke curangan rakyat kebanyakan TDK detuju,0,2026-04-26T15:39:09Z
@hamidusman104,"MBG kacau balau dibilang Pemerintah Prabowo Subianto bagus, Prabowo linglung",0,2026-04-26T13:51:50Z
@MacantutulPutih,Pak Mahfud kebanggaan ku tp makin kesini makin gak realistis ya,0,2026-04-26T13:48:29Z
@hamidusman104,"Bagus Pak Mahfud MD Harus lantang menyampaikan kebenaran walau pahit,Jangan jadi Penjilat Prabowo Subianto yg tdk berpihak ke rakyat",0,2026-04-26T13:22:03Z
@hamidusman104,Harus jujur berani walau pahit nantinya,0,2026-04-26T13:16:47Z
@rifky_id,permasalahan nya Prabowo bukan dipilih rakyat tapi dipilih oleh seseorang dimana orang itu berpengaruh dikalangan korporasi sebut saja oligarki ibarat Prabowo sebuah mobil ata yang menyetit,0,2026-04-26T13:06:40Z
@SaptadiSaptadi,Preeet!,0,2026-04-26T12:43:55Z
@LourencoSode,99 memang benar teman ku ❤,0,2026-04-26T12:35:12Z
@suudibanjiran,Ayo DPRRI d desak agar mengesahkan UU perampasan aset pak prabowo ayo maju bersama rakyat k gedung DPRRI bila perlu ketua DPRRI d nepalkan jika tdk setuju,0,2026-04-26T08:11:45Z
@OgiSukses-u4x3o,Harus 2 priode probowo,0,2026-04-26T06:52:35Z
@SlametBWabid,Maaf pak mahpud sejak jadi calon presiden gagal kaya demdam kebencian pada pak prabowo terus kaya gila jabatan,0,2026-04-26T06:05:17Z
@PermanaRachmat,"Jadi otoriter negara ini dikelola, gimana jadinya nanti .....",0,2026-04-26T03:22:22Z
@tutinurbandiah7455,Wowo dusta gulingkan !?,0,2026-04-26T00:38:43Z
@tutinurbandiah7455,Jangan menghiansti pensiun NKRI kerja puluhan thn !?,0,2026-04-26T00:37:16Z
@tutinurbandiah7455,"Pak mahpud wakil kiniAmAn ,!?",0,2026-04-26T00:34:39Z
@Danielyw-x6o,Pak prof . Saya selalu memakai konsep kepemimpinan raja raja kuno . Point pertama adalah seorang pemimpin harus secepat nja menangkap penjahat . Dsn mau tanja nih kepada prof . Apa beda nja odnjahat dan pencuri minta tolong dibaha dan jelaskan . Trims . .,0,2026-04-26T00:16:04Z
@tutinurbandiah7455,Nkri kaya Raya tongkat pun jadi makanan ubi kayu contoh jadi makanan !?Hebat kan !!,0,2026-04-26T00:12:45Z
@Danielyw-x6o,Lenser nja pak harto karena terlaku lama menjabat sebagai Ri 1 . Dan sebenar nja pak harto sudah mau mundur tetapj orang dekat nja yang membuat masalah . Beda sampai tahun sekarang ini . Yaitu presiden republik indonesia hanja 1 sampai 2 periode setdlah itu istirahat . . Trims .,0,2026-04-26T00:11:01Z
@tutinurbandiah7455,Menutut rakyat banyak pemeritahan kini serba mahal terutama bahan pokok sandang pangan papan ??Kenaapaa !??,0,2026-04-26T00:09:25Z
@Danielyw-x6o,Mengingatkan kepada pak prof mahmud md . Indonesia ini terlalu luas . Presiden harus tegas . Trims . .,0,2026-04-26T00:07:01Z
@Danielyw-x6o,Presiden Republik Indonesia era dunia maju sekarang ini . Satu dan sampai dua periode . Tidak bisa ditumbangkan dan makar . Bahawa negara indonesia . Negara hukum . Merdeka . Berdaulat . Adil dan makmur . Dan apabila ada yang biking onar dan makar . Di cap sebagai penjahat dan harus secepat nja ditangkap dan di proses secara hukum indonesia . Trims . Daniel . Y . W . Indonesia tercinta . .,0,2026-04-26T00:03:52Z
@HasanIdrus-dg2bq,Sehat pak Prabowo lanjutkan programx.,0,2026-04-25T23:55:39Z
@RuslisamadiRusli,Maaf saya bertanya jumlah koperasi seluruh Indonesia ada kurang lebih 80000 unit koperasi kenapa mobil yang di adakan 105000 unit mobil apa tidak kelebihan?,0,2026-04-25T23:30:14Z
@hariadiprapto8152,Matur suwun pak Mahfud.,0,2026-04-25T23:13:51Z
@AmrisAmris-p9z,Bpk MFD memang DBS,0,2026-04-25T22:45:10Z
